owner,groupId,totalAmount
0xB0bab6D73ea9D1084Ec99699b79f621073fc9dEe,200,38211404.00000000
0x8D6ac8af0a0F272FB96a5CDac1AA578852e48eb8,200,24550000.00000000
0x04Cbc994762956E4Cf7905EBfB1E56A917159d24,200,30000000.00000000
0xaddC75838c97FFf687ca1fDFc19Cf5Be787526aB,200,21000000.00000000
0xec8B9b456cF7Ad880Ed1b365c2b93fE217bB4699,200,21000000.00000000
0xB1e545E4b44Fe7e88A69E98d5F92bE9F04f7CF2E,200,20556000.00000000
0xDACe137956aF692e2C74Fd25Be7af970267F0BF4,200,20400000.00000000
0x0155D7a00Ec30d6c8Ca264ed74fD2F8af214E678,200,20388232.00000000
0xFb901C44Aa4a2f2a26291d79335df6f87eD44e12,200,20160000.00000000
0x95A91E39253eF14152160AEc88575DD23e9dd05E,200,20000000.00000000
0xDA25F3f4B25C148E7aC40D445bcfCbA20476D79F,200,2000079.00000000
0x055F389483f470CeeeD52aA31E66b7fE2b9594ec,200,2000000.00000000
0x055F389483f470CeeeD52aA31E66b7fE2b9594ec,200,2000000.00000000
0xF5d5E9192a77E2B161C5176A9C95255C318f66D2,200,25500000.00000000
0x84AA8a3d0eb1067D97669D1d11ab016e68B6E037,200,20000000.00000000
0x494BC88A211569DD8A7050543e0Dfa65b3f09d7e,200,22000000.00000000
0x0131bDd1af4CEf0f885bEDE32f6a1B4da992c7D1,200,19333333.00000000
0x93Bf57a6A2682aCdb73ad956fCbc7494DAd16fEa,200,18258720.00000000
0xBa04b0Be40EBAA2274f9545F7C56949d527C30da,200,16720000.00000000
0x417cE5c4e5536cac570B48A395DE9a6b83D1991C,200,16000000.00000000
0xA7FE93dE718466b06f77Ce702159D06C2e059FF5,200,16000000.00000000
0x7fd1a5a172CEbb0929978f1a31d94c9762e7DE46,200,20139512.00000000
0xc1a3bDB5EE88f25a3b12CFe7f2932974F0e6ad85,200,15090000.00000000
0xb552439B1dCDfbdA0465C143f360027115800a8b,200,14960000.00000000
0xEFb29c0a596517b8e8232AEECc22Bb60B9842101,200,14551600.00000000
0x4EfBCA176d4c8A3d837563749C574B8c811640eE,200,14000000.00000000
0xC794f2cce422dc20541534668EdB350064b685D1,200,14000000.00000000
0x8B665B1d2ADd8009992633F0F9f72feF57E2D0E3,200,14000000.00000000
0x1182ac907b6b81fd3D6f8cf1a887063689f9CcD0,200,13860680.00000000
0xa017F69B045C2A7bf8Df7cF9e05a4F3d0e1be988,200,13750000.00000000
0xF0F446450f6a9f129351F2b95ba92d0B9c331f55,200,13600000.00000000
0x56C92Dd88932dD7C149FADE339f22cE903786452,200,13440000.00000000
0x91966199C6ee50eb70aBD1867f9e4C43B6ed7146,200,13128132.00000000
0x9E6f98de1Bc2e28663492057552C5323C93A0996,200,13089218.00000000
0x376a4758255C5630646F84b4b8DF8210868254A8,200,13000000.00000000
0x5E1cd940a473b48DdbCb5ff2eD8133d6ACdE376b,200,12800000.00000000
0x9243e19fAfB3823D065263a402832A85e4cB7FA5,200,12720000.00000000
0x946778cff19A9E2Fef2Db22FAd9e0864e24c4C5b,200,12000000.00000000
0x8b5932BCE52b307157247CF4c96622d74E5F0cc4,200,12128400.00000000
0xE56Bb61e22adB5096157Ca779FD8421F221C01A8,200,12000000.00000000
0xd2344fD98289599C32bB0685AFdED8B78A083A1b,200,12000000.00000000
0xCD8994F227d03F514191b65FBe70ccEbCD757c34,200,12000000.00000000
